id,title,short_title,deity,moments,intentions,time_contexts,duration_seconds,rotation_policy,available_modes,primary_script,primary_text,transliteration,meaning,source_title,source_note,regional_note,reviewer_name,review_status,needs_review,audio_status,audio_asset_name,timing_status,tags,sort_order
ganesha-gam,Om Gam Ganapataye Namah,Gam Ganapataye,ganesha,dawn;leavingHome;beforeWork,focus;protection,dawn;morning,35,dailyAnchor,listen;chant;silent,devanagari,ॐ गं गणपतये नमः,Oṃ Gaṃ Gaṇapataye Namaḥ,"Salutations to Ganesha, remover of obstacles. A bija invocation to clear the way before beginning.",Ganapati bija mantra (traditional),,,seed,reviewed,false,recorded,ganesha-gam,estimated,,1
ganesha-shri,Om Shri Ganeshaya Namah,Shri Ganeshaya,ganesha,dawn;leavingHome,protection;devotion,dawn;morning,10,rotateOften,listen;chant;silent,devanagari,ॐ श्री गणेशाय नमः,Oṃ Śrī Gaṇeśāya Namaḥ,Salutations to revered Ganesha. A simple bow before stepping out into the day.,Traditional Ganesha namaḥ mantra,,,seed,reviewed,false,recorded,ganesha-shri,estimated,,2
ganesha-vakratunda,Vakratunda Mahakaya,Vakratunda Mahakaya,ganesha,beforeWork;meeting;study,focus;courage,morning;midday,19,rotateOften,listen;chant;silent,devanagari,"वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ।
निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥","Vakratuṇḍa mahākāya sūryakoṭi samaprabha,
nirvighnaṃ kuru me deva sarvakāryeṣu sarvadā.","O curved-trunk, mighty one, radiant as countless suns — make all my endeavours free of obstacles, always.",Ganesha dhyāna śloka (traditional Puranic invocation),,,seed,reviewed,false,recorded,ganesha-vakratunda,estimated,,3
shiva-namah,Om Namah Shivaya,Namah Shivaya,shiva,beforeWork;sunset;anxiety,peace;devotion,morning;sunset,180,rotateOften,listen;chant;silent,devanagari,ॐ नमः शिवाय,Oṃ Namaḥ Śivāya,"I bow to Shiva, the auspicious one. The five-syllable mantra of surrender and stillness.",Pañcākṣara mantra (Yajurveda / Śaiva tradition),,,seed,reviewed,false,recorded,shiva-namah,estimated,,4
shiva-mahamrityunjaya,Mahamrityunjaya Mantra,Mahamrityunjaya Mantra,shiva,protection;anxiety;dawn,protection;peace;courage,dawn;morning,40,occasional,listen;chant;silent,devanagari,"ॐ त्र्यम्बकं यजामहे सुगन्धिं पुष्टिवर्धनम्।
उर्वारुकमिव बन्धनान्मृत्योर्मुक्षीय मामृतात्॥","Oṃ tryambakaṃ yajāmahe sugandhiṃ puṣṭivardhanam,
urvārukam iva bandhanān mṛtyor mukṣīya māmṛtāt.","We worship the three-eyed one who nourishes all. As a ripe cucumber loosens from its stem, free us from death — not from immortality.",Ṛgveda 7.59.12 (Mahāmṛtyuñjaya mantra),,,seed,reviewed,false,recorded,shiva-mahamrityunjaya,estimated,,5
vishnu-narayana,Om Namo Narayanaya,Namo Narayanaya,vishnu,beforeWork;gratitude,peace;devotion,morning;midday,113,rotateOften,listen;chant;silent,devanagari,ॐ नमो नारायणाय,Oṃ Namo Nārāyaṇāya,"I bow to Narayana, the refuge of all beings. The eight-syllable mantra of trust.",Nārāyaṇa Aṣṭākṣara mantra (traditional),,,seed,reviewed,false,recorded,vishnu-narayana,estimated,,6
vishnu-shantakaram,Shantakaram Bhujagashayanam,Shantakaram Bhujagashayanam,vishnu,sleep;gratitude;sunset,peace;devotion,sunset;night,30,occasional,listen;chant;silent,devanagari,"शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं
विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम्॥","Śāntākāraṃ bhujagaśayanaṃ padmanābhaṃ sureśaṃ
viśvādhāraṃ gaganasadṛśaṃ meghavarṇaṃ śubhāṅgam.","Serene of form, resting on the serpent, lotus-naveled lord of the gods — support of the universe, vast as the sky.",Viṣṇu dhyāna śloka 'Śāntākāram' (traditional),,,seed,reviewed,false,none,,estimated,,7
krishna-vasudeva,Om Namo Bhagavate Vasudevaya,Namo Bhagavate Vasudevaya,krishna,gratitude;beforeWork,devotion;peace,morning;midday;sunset,89,rotateOften,listen;chant;silent,devanagari,ॐ नमो भगवते वासुदेवाय,Oṃ Namo Bhagavate Vāsudevāya,I bow to Bhagavan Vasudeva (Krishna). The twelve-syllable mantra of loving remembrance.,Vāsudeva Dvādaśākṣara mantra (Bhāgavata tradition),,,seed,reviewed,false,recorded,krishna-vasudeva,estimated,,8
krishna-mahamantra,Hare Krishna Maha Mantra,Hare Krishna Maha Mantra,krishna,gratitude;anxiety,devotion;peace,morning;sunset,22,occasional,listen;chant;silent,devanagari,"हरे कृष्ण हरे कृष्ण कृष्ण कृष्ण हरे हरे।
हरे राम हरे राम राम राम हरे हरे॥","Hare Kṛṣṇa Hare Kṛṣṇa, Kṛṣṇa Kṛṣṇa Hare Hare,
Hare Rāma Hare Rāma, Rāma Rāma Hare Hare.",A calling of the divine names of Krishna and Rama — the great mantra of remembrance.,Mahā Mantra (Kali-Santaraṇa Upaniṣad),,,seed,reviewed,false,recorded,krishna-mahamantra,estimated,,9
hanuman-namah,Om Hanumate Namah,Hanumate,hanuman,travel;protection;leavingHome,protection;courage,dawn;morning,15,rotateOften,listen;chant;silent,devanagari,ॐ हनुमते नमः,Oṃ Hanumate Namaḥ,"Salutations to Hanuman, the fearless protector. A bow for courage on the road.",Traditional Hanuman namaḥ mantra,,,seed,reviewed,false,recorded,hanuman-namah,estimated,,10
